Num scan;Nom du Locator;X;Y;Z;% NORD;Plancher
4198;R145_03;2.920435;-7.851156;-1.850;50;PLANCHER 01 (-03.50m)
4199;R145_04;2.045220;-6.750886;-1.850;50;PLANCHER 01 (-03.50m)
4200;R120_16;-3.223786;-15.617999;-1.850;50;PLANCHER 01 (-03.50m)
4201;R130b_01;-5.222266;-14.969169;-1.850;50;PLANCHER 01 (-03.50m)
4202;R130b_02;-6.599160;-15.089481;-1.850;50;PLANCHER 01 (-03.50m)
4203;R130a_12;-8.820498;-13.550286;-1.850;50;PLANCHER 01 (-03.50m)
4204;R131_09;-7.756955;-12.041525;-1.850;50;PLANCHER 01 (-03.50m)
4205;R130a_13;-9.864086;-12.619035;-1.850;50;PLANCHER 01 (-03.50m)
4206;R130a_14;-11.977494;-10.720809;-1.850;50;PLANCHER 01 (-03.50m)
4207;R130a_15;-13.395372;-8.743243;-1.850;50;PLANCHER 01 (-03.50m)
2115;R211_01;-4.429517;13.957832;1.650;50;PLANCHER 02 (+00.00m)
2116;R232_01;-6.055565;-6.048811;1.650;50;PLANCHER 02 (+00.00m)
2117;R232_02;-6.823842;-4.488976;1.650;50;PLANCHER 02 (+00.00m)
2118;R232_03;-8.368147;-7.005152;1.650;50;PLANCHER 02 (+00.00m)
2119;R232_04;-9.865370;-6.096123;1.650;50;PLANCHER 02 (+00.00m)
2120;R246_01;0.218181;-8.032037;1.650;50;PLANCHER 02 (+00.00m)
2121;R246_02;0.099468;-10.399648;1.650;50;PLANCHER 02 (+00.00m)
2122;R220b_01;0.317874;-13.959658;1.650;50;PLANCHER 02 (+00.00m)
2123;R220b_02;1.519104;-14.068861;1.650;50;PLANCHER 02 (+00.00m)
2124;R245_01;3.550275;-8.761607;1.650;50;PLANCHER 02 (+00.00m)
2125;R245_02;3.616087;-11.239068;1.650;50;PLANCHER 02 (+00.00m)
2126;R246_03;-1.519784;-8.279670;1.650;50;PLANCHER 02 (+00.00m)
2127;R245_03;1.616404;-8.743195;1.650;50;PLANCHER 02 (+00.00m)
2128;R210a_01;9.505001;13.897836;1.650;50;PLANCHER 02 (+00.00m)
2129;R210a_02;8.219267;14.626806;1.650;50;PLANCHER 02 (+00.00m)
2130;R210a_03;5.582267;15.704289;1.650;50;PLANCHER 02 (+00.00m)
3081;R248_01;8.986149;11.362723;1.650;50;PLANCHER 02 (+00.00m)
3082;R248_02;8.004759;10.381333;1.650;50;PLANCHER 02 (+00.00m)
3083;R248_03;5.489083;7.879479;1.650;50;PLANCHER 02 (+00.00m)
3084;R248_04;4.023909;6.552529;1.650;50;PLANCHER 02 (+00.00m)
3085;R213_01;3.014874;5.571138;1.650;50;PLANCHER 02 (+00.00m)
3086;R213_02;1.828299;6.738674;1.650;50;PLANCHER 02 (+00.00m)
3087;R213_03;1.097851;8.194072;1.650;50;PLANCHER 02 (+00.00m)
3088;R213_04;0.669554;11.546603;1.650;50;PLANCHER 02 (+00.00m)
3089;R213_05;0.347788;15.123457;1.650;50;PLANCHER 02 (+00.00m)
3090;R248_05;2.482171;11.679767;1.650;50;PLANCHER 02 (+00.00m)
3091;R248_06;2.442721;9.997264;1.650;50;PLANCHER 02 (+00.00m)
3092;R248_07;2.813105;13.241317;1.650;50;PLANCHER 02 (+00.00m)
3093;R248_08;4.198755;12.960964;1.650;50;PLANCHER 02 (+00.00m)
3094;R248_09;5.293316;13.484142;1.650;50;PLANCHER 02 (+00.00m)
3095;R212_01;-1.634925;8.117089;1.650;50;PLANCHER 02 (+00.00m)
3096;R212_02;-2.713267;9.861191;1.650;50;PLANCHER 02 (+00.00m)
3097;R212_03;-0.884773;10.170628;1.650;50;PLANCHER 02 (+00.00m)
3098;R211_02;-4.552371;12.362099;1.650;50;PLANCHER 02 (+00.00m)
3099;R211_03;-5.446466;13.508374;1.650;50;PLANCHER 02 (+00.00m)
3100;R230b_01;-12.890271;10.892110;1.650;50;PLANCHER 02 (+00.00m)
3101;R230b_02;-14.451981;10.860238;1.650;50;PLANCHER 02 (+00.00m)
3102;R230b_03;-14.212944;8.214893;1.650;50;PLANCHER 02 (+00.00m)
3103;R230b_04;-14.866313;6.159172;1.650;50;PLANCHER 02 (+00.00m)
3119;R210a_04;-12.358310;13.177984;1.650;50;PLANCHER 02 (+00.00m)
3120;R210a_05;-10.111479;12.889106;1.650;50;PLANCHER 02 (+00.00m)
3121;R210a_06;-8.153526;14.718669;1.650;50;PLANCHER 02 (+00.00m)
3122;R210a_07;-5.874597;14.879156;1.650;50;PLANCHER 02 (+00.00m)
3123;R210a_08;-2.889522;16.596377;1.650;50;PLANCHER 02 (+00.00m)
3124;R210a_09;0.204591;16.678037;1.650;50;PLANCHER 02 (+00.00m)
3125;R210a_10;3.077326;16.357062;1.650;50;PLANCHER 02 (+00.00m)
3126;R230a_01;-14.604851;-7.739102;1.650;50;PLANCHER 02 (+00.00m)
3127;R230a_02;-13.345248;-10.018383;1.650;50;PLANCHER 02 (+00.00m)
3128;R230a_03;-10.871073;-12.657985;1.650;50;PLANCHER 02 (+00.00m)
3129;R230a_04;-7.982509;-14.546160;1.650;50;PLANCHER 02 (+00.00m)
3130;R230a_05;-6.405084;-15.088400;1.650;50;PLANCHER 02 (+00.00m)
3131;R230a_06;-4.946062;-15.974252;1.650;50;PLANCHER 02 (+00.00m)
3132;R230a_07;-16.950831;-0.709666;1.650;50;PLANCHER 02 (+00.00m)
3133;R220b_03;4.710190;-16.397621;1.650;50;PLANCHER 02 (+00.00m)
3134;R220b_04;-2.823017;-16.738563;1.650;50;PLANCHER 02 (+00.00m)
