Num scan;Locator;X;Y;Z;Delta;Hauteur/cm;Zcorrige;% NORD;PlancherMS
4140;R223_03;1.563;-6.241;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4141;R223_04;4.906;-4.305;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4142;R223_05;6.460;-1.967;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4143;R223_06;4.008;-5.769;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4144;R222_01;12.392;-4.700;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4145;R222_02;10.322;-3.731;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4146;R223_07;9.305;-6.267;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4147;R223_08;12.453;-7.465;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4148;R233_06;-5.671;-0.349;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4180;R233_07;-3.626;-5.586;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4181;R231_02;-3.115;-9.066;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4182;R231_03;-3.074;-11.226;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4183;R231_04;-3.029;-13.395;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4184;R231_05;-5.958;-7.855;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4185;R231_06;-7.917;-9.218;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4186;R231_07;-8.756;-10.991;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4187;R222_03;8.520;-2.866;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4188;R241_01;12.021;7.604;0.000;;120.000;1.200;50;PLANCHER 02 (+00.00m)
4189;R221_06;14.113;-2.044;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
4190;R221_07;12.833;-2.349;0.000;;165.000;1.650;50;PLANCHER 02 (+00.00m)
1056;R312_01;0.340;13.707;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1057;R312_02;-0.044;11.403;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1058;R312_03;-0.566;8.582;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1059;R312_04;1.232;11.092;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1060;R313_01;-0.227;6.021;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1061;R312_05;-3.006;10.185;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1062;R312_06;-2.673;11.983;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
1063;R311_01;-5.472;12.549;4.000;;165.000;5.650;50;PLANCHER 03 (+04.00m)
